geo,year,population_16plus,ev_count,bev_count,phev_count,stations_in_service,ev_per_1000_people,stations_per_100k_people,evs_per_station,bev_share,phev_share
Prince Edward Island,2025,155345,249,131,118,173,1.6029,111.365,1.4393,0.5261,0.4739
Quebec,2017,6902190,7793,3349,4444,276,1.1291,3.9987,28.2355,0.4297,0.5703
Quebec,2018,6971881,17842,8537,9305,307,2.5591,4.4034,58.1173,0.4785,0.5215
Quebec,2019,7047413,27047,15289,11758,1717,3.8379,24.3636,15.7525,0.5653,0.4347
Quebec,2020,7099930,26144,17066,9078,2077,3.6823,29.2538,12.5874,0.6528,0.3472
Quebec,2021,7120198,37034,22642,14392,2446,5.2013,34.353,15.1406,0.6114,0.3886
Quebec,2022,7206520,45881,34107,11774,2962,6.3666,41.1017,15.4899,0.7434,0.2566
Quebec,2023,7346358,79802,59690,20112,3677,10.8628,50.052,21.703,0.748,0.252
Quebec,2024,7511679,147757,114564,33193,4365,19.6703,58.1095,33.8504,0.7754,0.2246
Quebec,2025,7581800,32576,22964,9612,4870,4.2966,64.2328,6.6891,0.7049,0.2951
Saskatchewan,2017,910563,31,13,18,19,0.034,2.0866,1.6316,0.4194,0.5806
Saskatchewan,2018,916551,87,45,42,21,0.0949,2.2912,4.1429,0.5172,0.4828
Saskatchewan,2019,922888,175,107,68,27,0.1896,2.9256,6.4815,0.6114,0.3886
Saskatchewan,2020,925803,198,123,75,35,0.2139,3.7805,5.6571,0.6212,0.3788
Saskatchewan,2021,926833,478,303,175,55,0.5157,5.9342,8.6909,0.6339,0.3661
Saskatchewan,2022,936941,705,507,198,94,0.7524,10.0326,7.5,0.7191,0.2809
Saskatchewan,2023,963607,1076,606,470,135,1.1166,14.0099,7.9704,0.5632,0.4368
Saskatchewan,2024,997502,1394,769,625,169,1.3975,16.9423,8.2485,0.5516,0.4484
Saskatchewan,2025,1016600,597,273,324,196,0.5873,19.28,3.0459,0.4573,0.5427
Yukon,2017,32527,0,0,0,0,0.0,0.0,nan,nan,nan
Yukon,2018,33297,2,1,1,0,0.0601,0.0,inf,0.5,0.5
Yukon,2019,33902,9,3,6,2,0.2655,5.8994,4.5,0.3333,0.6667
Yukon,2020,34566,25,11,14,4,0.7233,11.5721,6.25,0.44,0.56
Yukon,2021,35479,67,25,42,4,1.8884,11.2743,16.75,0.3731,0.6269
Yukon,2022,36293,83,49,34,12,2.2869,33.0642,6.9167,0.5904,0.4096
Yukon,2023,37706,154,108,46,23,4.0842,60.9982,6.6957,0.7013,0.2987
Yukon,2024,39693,218,148,70,28,5.4922,70.5414,7.7857,0.6789,0.3211
Yukon,2025,40404,69,42,27,30,1.7078,74.2501,2.3,0.6087,0.3913
