geo,year,stations_opened,level2_opened,dcfast_opened,chargers_stations,level2_ports,dcfast_ports,chargers_ports,fast_share,zev_q1,zev_q2,zev_q3,zev_q4,quarters_present,zev_q1i,zev_q2i,zev_q3i,zev_q4i,annual_complete,annual_imputed,ev_annual,ev_method
British Columbia,2022,459,866,268,1347,2712,931,3643,0.2555586055448806,6688.0,7072.0,8262.0,7565.0,4,6688.0,7072.0,8262.0,7565.0,29587.0,29587.0,29587.0,complete_year
British Columbia,2023,484,1058,383,1831,3770,1314,5084,0.2584579071597168,8107.0,10954.0,13418.0,10969.0,4,8107.0,10954.0,13418.0,10969.0,43448.0,43448.0,43448.0,complete_year
British Columbia,2024,442,1006,515,2273,4776,1829,6605,0.2769114307342922,10088.0,12081.0,12812.0,10585.0,4,10088.0,12081.0,12812.0,10585.0,45566.0,45566.0,45566.0,complete_year
Manitoba,2017,5,8,0,17,23,0,23,0.0,10.0,16.0,16.0,12.0,4,10.0,16.0,16.0,12.0,54.0,54.0,54.0,complete_year
Manitoba,2018,0,0,0,17,23,0,23,0.0,15.0,49.0,40.0,55.0,4,15.0,49.0,40.0,55.0,159.0,159.0,159.0,complete_year
Manitoba,2019,9,13,4,26,36,4,40,0.1,26.0,96.0,98.0,67.0,4,26.0,96.0,98.0,67.0,287.0,287.0,287.0,complete_year
Manitoba,2020,5,0,28,31,36,32,68,0.4705882352941176,65.0,65.0,101.0,81.0,4,65.0,65.0,101.0,81.0,312.0,312.0,312.0,complete_year
Manitoba,2021,18,22,8,49,58,40,98,0.4081632653061224,100.0,155.0,194.0,183.0,4,100.0,155.0,194.0,183.0,632.0,632.0,632.0,complete_year
Manitoba,2022,56,94,7,105,152,47,199,0.236180904522613,201.0,233.0,314.0,298.0,4,201.0,233.0,314.0,298.0,1046.0,1046.0,1046.0,complete_year
Manitoba,2023,78,111,30,183,263,77,340,0.2264705882352941,262.0,383.0,577.0,376.0,4,262.0,383.0,577.0,376.0,1598.0,1598.0,1598.0,complete_year
Manitoba,2024,72,115,27,255,378,104,482,0.2157676348547718,460.0,736.0,866.0,889.0,4,460.0,736.0,866.0,889.0,2951.0,2951.0,2951.0,complete_year
New Brunswick,2017,20,21,13,40,48,13,61,0.2131147540983606,5.0,7.0,6.0,8.0,4,5.0,7.0,6.0,8.0,26.0,26.0,26.0,complete_year
New Brunswick,2018,3,7,1,43,55,14,69,0.2028985507246377,10.0,16.0,9.0,21.0,4,10.0,16.0,9.0,21.0,56.0,56.0,56.0,complete_year
New Brunswick,2019,17,18,32,60,73,46,119,0.3865546218487395,12.0,61.0,54.0,39.0,4,12.0,61.0,54.0,39.0,166.0,166.0,166.0,complete_year
New Brunswick,2020,17,23,33,77,96,79,175,0.4514285714285714,37.0,31.0,66.0,46.0,4,37.0,31.0,66.0,46.0,180.0,180.0,180.0,complete_year
New Brunswick,2021,22,34,2,99,130,81,211,0.3838862559241706,67.0,117.0,182.0,107.0,4,67.0,117.0,182.0,107.0,473.0,473.0,473.0,complete_year
New Brunswick,2022,32,53,4,131,183,85,268,0.3171641791044776,157.0,204.0,252.0,248.0,4,157.0,204.0,252.0,248.0,861.0,861.0,861.0,complete_year
New Brunswick,2023,60,85,23,191,268,108,376,0.2872340425531915,220.0,458.0,536.0,532.0,4,220.0,458.0,536.0,532.0,1746.0,1746.0,1746.0,complete_year
New Brunswick,2024,35,41,39,226,309,147,456,0.3223684210526316,468.0,799.0,769.0,791.0,4,468.0,799.0,769.0,791.0,2827.0,2827.0,2827.0,complete_year
Newfoundland and Labrador,2017,0,0,0,0,0,0,0,,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2018,3,25,0,17,47,0,47,0.0,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2019,1,1,0,18,48,0,48,0.0,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2020,0,0,0,18,48,0,48,0.0,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2021,31,18,14,49,66,14,80,0.175,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2022,49,36,21,98,102,35,137,0.2554744525547445,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2023,17,36,0,115,138,35,173,0.2023121387283237,,,,,0,,,,,,,,missing
Newfoundland and Labrador,2024,8,13,6,123,151,41,192,0.2135416666666666,,,,,0,,,,,,,,missing
Northwest Territories,2017,0,0,0,0,0,0,0,,1.0,0.0,0.0,0.0,4,1.0,0.0,0.0,0.0,1.0,1.0,1.0,complete_year
Northwest Territories,2018,0,0,0,0,0,0,0,,0.0,0.0,2.0,1.0,4,0.0,0.0,2.0,1.0,3.0,3.0,3.0,complete_year
Northwest Territories,2019,0,0,0,0,0,0,0,,0.0,1.0,0.0,1.0,4,0.0,1.0,0.0,1.0,2.0,2.0,2.0,complete_year
Northwest Territories,2020,1,2,0,1,2,0,2,0.0,0.0,0.0,5.0,2.0,4,0.0,0.0,5.0,2.0,7.0,7.0,7.0,complete_year
Northwest Territories,2021,0,0,0,1,2,0,2,0.0,2.0,3.0,6.0,5.0,4,2.0,3.0,6.0,5.0,16.0,16.0,16.0,complete_year
Northwest Territories,2022,0,0,0,1,2,0,2,0.0,8.0,7.0,6.0,6.0,4,8.0,7.0,6.0,6.0,27.0,27.0,27.0,complete_year
Northwest Territories,2023,1,0,1,2,2,1,3,0.3333333333333333,2.0,10.0,12.0,9.0,4,2.0,10.0,12.0,9.0,33.0,33.0,33.0,complete_year
Northwest Territories,2024,5,4,3,7,6,4,10,0.4,4.0,12.0,16.0,13.0,4,4.0,12.0,16.0,13.0,45.0,45.0,45.0,complete_year
Nova Scotia,2017,3,9,0,24,42,0,42,0.0,6.0,9.0,8.0,8.0,4,6.0,9.0,8.0,8.0,31.0,31.0,31.0,complete_year
Nova Scotia,2018,1,1,0,25,43,0,43,0.0,14.0,13.0,24.0,29.0,4,14.0,13.0,24.0,29.0,80.0,80.0,80.0,complete_year
Nova Scotia,2019,19,23,19,44,66,19,85,0.2235294117647059,18.0,42.0,61.0,39.0,4,18.0,42.0,61.0,39.0,160.0,160.0,160.0,complete_year
Nova Scotia,2020,8,14,4,52,80,23,103,0.2233009708737864,54.0,31.0,67.0,97.0,4,54.0,31.0,67.0,97.0,249.0,249.0,249.0,complete_year
Nova Scotia,2021,21,65,3,73,145,26,171,0.1520467836257309,86.0,175.0,196.0,172.0,4,86.0,175.0,196.0,172.0,629.0,629.0,629.0,complete_year
Nova Scotia,2022,70,122,9,143,267,35,302,0.1158940397350993,144.0,206.0,310.0,312.0,4,144.0,206.0,310.0,312.0,972.0,972.0,972.0,complete_year
Nova Scotia,2023,67,125,17,210,392,52,444,0.1171171171171171,280.0,450.0,629.0,612.0,4,280.0,450.0,629.0,612.0,1971.0,1971.0,1971.0,complete_year
Nova Scotia,2024,47,70,29,257,462,81,543,0.149171270718232,494.0,694.0,751.0,870.0,4,494.0,694.0,751.0,870.0,2809.0,2809.0,2809.0,complete_year
Ontario,2017,83,214,23,276,589,111,700,0.1585714285714285,1320.0,2089.0,2129.0,2640.0,4,1320.0,2089.0,2129.0,2640.0,8178.0,8178.0,8178.0,complete_year
Ontario,2018,97,562,21,373,1151,132,1283,0.1028838659392049,2747.0,6949.0,5178.0,1886.0,4,2747.0,6949.0,5178.0,1886.0,16760.0,16760.0,16760.0,complete_year
Ontario,2019,280,626,326,653,1777,458,2235,0.2049217002237136,1343.0,2875.0,3149.0,2278.0,4,1343.0,2875.0,3149.0,2278.0,9645.0,9645.0,9645.0,complete_year
Ontario,2020,190,305,216,843,2082,674,2756,0.2445573294629898,1712.0,1761.0,3568.0,3476.0,4,1712.0,1761.0,3568.0,3476.0,10517.0,10517.0,10517.0,complete_year
Ontario,2021,433,973,150,1276,3055,824,3879,0.2124258829595256,3362.0,5148.0,5171.0,6129.0,4,3362.0,5148.0,5171.0,6129.0,19810.0,19810.0,19810.0,complete_year
Ontario,2022,758,1644,210,2034,4699,1034,5733,0.180359323216466,7124.0,9534.0,11013.0,10991.0,4,7124.0,9534.0,11013.0,10991.0,38662.0,38662.0,38662.0,complete_year
Ontario,2023,941,2259,307,2975,6958,1341,8299,0.16158573322087,8520.0,12797.0,14710.0,14105.0,4,8520.0,12797.0,14710.0,14105.0,50132.0,50132.0,50132.0,complete_year
Ontario,2024,848,2296,307,3823,9254,1648,10902,0.1511649238671803,11026.0,14370.0,15946.0,15251.0,4,11026.0,14370.0,15946.0,15251.0,56593.0,56593.0,56593.0,complete_year
Prince Edward Island,2017,4,4,0,16,23,0,23,0.0,0.0,0.0,1.0,5.0,4,0.0,0.0,1.0,5.0,6.0,6.0,6.0,complete_year
Prince Edward Island,2018,2,3,0,18,26,0,26,0.0,5.0,5.0,5.0,1.0,4,5.0,5.0,5.0,1.0,16.0,16.0,16.0,complete_year
Prince Edward Island,2019,1,2,0,19,28,0,28,0.0,6.0,11.0,15.0,11.0,4,6.0,11.0,15.0,11.0,43.0,43.0,43.0,complete_year
Prince Edward Island,2020,6,6,6,25,34,6,40,0.15,7.0,5.0,27.0,6.0,4,7.0,5.0,27.0,6.0,45.0,45.0,45.0,complete_year
Prince Edward Island,2021,29,61,12,54,95,18,113,0.1592920353982301,20.0,21.0,89.0,43.0,4,20.0,21.0,89.0,43.0,173.0,173.0,173.0,complete_year
Prince Edward Island,2022,35,63,0,89,158,18,176,0.1022727272727272,45.0,47.0,73.0,55.0,4,45.0,47.0,73.0,55.0,220.0,220.0,220.0,complete_year
Prince Edward Island,2023,54,107,5,143,265,23,288,0.0798611111111111,76.0,120.0,159.0,147.0,4,76.0,120.0,159.0,147.0,502.0,502.0,502.0,complete_year
Prince Edward Island,2024,16,41,0,159,306,23,329,0.0699088145896656,108.0,173.0,168.0,166.0,4,108.0,173.0,168.0,166.0,615.0,615.0,615.0,complete_year
Quebec,2017,52,188,0,276,623,17,640,0.0265625,1245.0,2028.0,2111.0,2409.0,4,1245.0,2028.0,2111.0,2409.0,7793.0,7793.0,7793.0,complete_year
Quebec,2018,31,174,2,307,797,19,816,0.0232843137254901,2565.0,5119.0,4433.0,5725.0,4,2565.0,5119.0,4433.0,5725.0,17842.0,17842.0,17842.0,complete_year
Quebec,2019,1410,2424,525,1717,3221,544,3765,0.1444887118193891,3793.0,9374.0,7822.0,6058.0,4,3793.0,9374.0,7822.0,6058.0,27047.0,27047.0,27047.0,complete_year
Quebec,2020,360,586,177,2077,3807,721,4528,0.1592314487632508,5638.0,4469.0,8646.0,7391.0,4,5638.0,4469.0,8646.0,7391.0,26144.0,26144.0,26144.0,complete_year
Quebec,2021,369,656,203,2446,4463,924,5387,0.1715240393540003,6913.0,11831.0,10614.0,7676.0,4,6913.0,11831.0,10614.0,7676.0,37034.0,37034.0,37034.0,complete_year
Quebec,2022,516,891,264,2962,5354,1188,6542,0.1815958422500764,10408.0,11105.0,12205.0,12163.0,4,10408.0,11105.0,12205.0,12163.0,45881.0,45881.0,45881.0,complete_year
Quebec,2023,715,1713,332,3677,7067,1520,8587,0.1770117619657622,11933.0,20131.0,24307.0,23431.0,4,11933.0,20131.0,24307.0,23431.0,79802.0,79802.0,79802.0,complete_year
Quebec,2024,688,1706,398,4365,8773,1918,10691,0.1794032363670377,23490.0,33984.0,40915.0,49368.0,4,23490.0,33984.0,40915.0,49368.0,147757.0,147757.0,147757.0,complete_year
Saskatchewan,2017,5,5,0,19,32,0,32,0.0,8.0,7.0,9.0,7.0,4,8.0,7.0,9.0,7.0,31.0,31.0,31.0,complete_year
Saskatchewan,2018,2,2,0,21,34,0,34,0.0,11.0,24.0,23.0,29.0,4,11.0,24.0,23.0,29.0,87.0,87.0,87.0,complete_year
Saskatchewan,2019,6,5,4,27,39,4,43,0.0930232558139534,25.0,50.0,53.0,47.0,4,25.0,50.0,53.0,47.0,175.0,175.0,175.0,complete_year
Saskatchewan,2020,8,2,38,35,41,42,83,0.5060240963855421,46.0,35.0,76.0,41.0,4,46.0,35.0,76.0,41.0,198.0,198.0,198.0,complete_year
Saskatchewan,2021,20,19,17,55,60,59,119,0.4957983193277311,104.0,101.0,130.0,143.0,4,104.0,101.0,130.0,143.0,478.0,478.0,478.0,complete_year
Saskatchewan,2022,39,47,34,94,107,93,200,0.465,130.0,194.0,203.0,178.0,4,130.0,194.0,203.0,178.0,705.0,705.0,705.0,complete_year
Saskatchewan,2023,41,49,36,135,156,129,285,0.4526315789473684,188.0,280.0,350.0,258.0,4,188.0,280.0,350.0,258.0,1076.0,1076.0,1076.0,complete_year
Saskatchewan,2024,34,34,22,169,190,151,341,0.4428152492668621,265.0,336.0,414.0,379.0,4,265.0,336.0,414.0,379.0,1394.0,1394.0,1394.0,complete_year
Yukon,2017,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,complete_year
Yukon,2018,0,0,0,0,0,0,0,,0.0,0.0,1.0,1.0,4,0.0,0.0,1.0,1.0,2.0,2.0,2.0,complete_year
Yukon,2019,2,0,2,2,0,2,2,1.0,1.0,4.0,4.0,0.0,4,1.0,4.0,4.0,0.0,9.0,9.0,9.0,complete_year
Yukon,2020,2,0,2,4,0,4,4,1.0,4.0,4.0,6.0,11.0,4,4.0,4.0,6.0,11.0,25.0,25.0,25.0,complete_year
Yukon,2021,0,0,0,4,0,4,4,1.0,13.0,20.0,26.0,8.0,4,13.0,20.0,26.0,8.0,67.0,67.0,67.0,complete_year
Yukon,2022,8,0,8,12,0,12,12,1.0,9.0,19.0,25.0,30.0,4,9.0,19.0,25.0,30.0,83.0,83.0,83.0,complete_year
Yukon,2023,11,19,7,23,19,19,38,0.5,24.0,40.0,41.0,49.0,4,24.0,40.0,41.0,49.0,154.0,154.0,154.0,complete_year
Yukon,2024,5,5,4,28,24,23,47,0.4893617021276595,42.0,77.0,47.0,52.0,4,42.0,77.0,47.0,52.0,218.0,218.0,218.0,complete_year
